,GRP_PD_Total_Scorecard_Points,TBSG001B,WOE_TBSBR34S,GRP_NA11,WOE_max_ks_max_util_3mos,t8,GRP_ALL2320,GRP_cust_rev_max_dlq_6mos,WOE_NA11,GRP_max_ks_max_dlqdays_6mos,GRP_TBSBR34S,GRP_dda_avg_dly_dep_amt_L90,t11,WOE_TBSAT34B,WOE_dda_sum_OS_Bal,WOE_dda_av_bal,TBSG059S,GRP_CVPRRVLR01,WOE_max_ks_max_util_6mos,GRP_CVPRAGG910,GRP_dda_min_Min_Mthly_Bal,WOE_CVSC100,GRP_REV5620,WOE_PD_Total_Scorecard_Points,GRP_TBSG302S,GRP_max_ks_num_dlqdays_12mos,GRP_TBSSC100,GRP_BCC7120,t12
0,5,-7,0.080273964,4,1.087368287,0,2,1,1.323402953,1,1,5,0,0.100545443,0.777060596,0.777060596,-7,2,1.106670509,1,5,0.469315498,3,2.360459417,1,1,1,1,0
1,5,-4,0.080273964,4,-0.354041427,0,1,1,1.323402953,3,1,4,0,0.100545443,2.079364187,0.931759695,-4,2,-0.65927715,1,4,0.469315498,4,2.360459417,1,3,1,1,0
2,4,0,-1.450988868,2,-1.287173361,0,3,1,-0.37704675,1,5,5,0,-1.358196556,0.777060596,0.777060596,0,2,-0.65927715,3,5,-0.597480962,2,0.914926411,1,1,2,2,0
3,3,0,-0.632657414,2,0.017097243,0,3,1,-0.37704675,1,4,2,0,-0.469871632,-1.050757911,-0.485121989,0,2,0.382100409,1,2,-0.597480962,2,-0.452086568,1,1,3,1,0
4,4,-4,0.080273964,4,1.087368287,0,1,1,1.323402953,1,1,1,0,0.100545443,-0.406465375,-1.000382259,-4,2,1.106670509,1,3,1.859388118,4,0.914926411,1,1,1,1,0
5,5,0,1.151735866,3,1.087368287,0,1,1,0.452822554,1,2,1,0,1.413734741,-0.406465375,-1.000382259,0,2,1.106670509,1,3,0.469315498,4,2.360459417,1,1,5,2,0
6,1,2,-1.450988868,1,-1.287173361,1,4,2,-1.281918189,2,5,1,1,-1.358196556,-0.406465375,-1.000382259,1,4,-0.65927715,4,3,-1.742633061,3,-2.074529237,2,2,1,3,1
7,2,0,0.080273964,1,-0.354041427,0,1,2,-1.281918189,3,1,1,1,-0.469871632,-1.050757911,0.025116256,0,1,-0.65927715,1,2,-0.597480962,4,-1.188488621,1,3,3,4,1
8,3,-4,0.080273964,5,0.61682937,0,5,1,-0.118791394,1,1,1,0,0.100545443,0.60538659,-1.000382259,-4,5,1.106670509,5,3,-0.118791394,5,-0.452086568,1,1,1,5,0
9,3,0,1.151735866,3,0.017097243,0,1,2,0.452822554,1,2,1,0,0.263253257,-0.406465375,0.931759695,0,2,0.382100409,1,2,0.469315498,3,-0.452086568,1,1,4,1,0
10,4,0,1.151735866,2,-1.287173361,0,1,1,-0.37704675,1,2,2,0,1.413734741,-1.050757911,-0.485121989,0,4,-0.65927715,3,2,-0.597480962,2,0.914926411,1,1,3,2,0
11,5,0,1.151735866,4,1.087368287,0,1,1,1.323402953,1,2,1,0,1.413734741,-0.406465375,-1.000382259,0,2,1.106670509,1,2,1.859388118,4,2.360459417,1,1,4,1,0
12,5,-4,0.080273964,4,1.087368287,0,3,1,1.323402953,1,1,4,0,0.100545443,2.079364187,0.025116256,-4,2,1.106670509,1,3,0.469315498,4,2.360459417,1,1,1,1,0
13,1,0,-1.450988868,5,-1.287173361,0,5,1,-0.118791394,1,5,4,0,-1.358196556,2.079364187,0.025116256,0,5,-0.65927715,5,3,-0.118791394,5,-2.074529237,1,1,3,5,0
14,2,-4,0.080273964,5,-0.354041427,0,5,1,-0.118791394,3,1,2,0,0.100545443,0.60538659,-0.485121989,-4,5,-0.65927715,5,4,-0.118791394,5,-1.188488621,1,3,1,5,0
15,3,0,0.080273964,3,-0.354041427,0,1,1,0.452822554,3,1,2,0,-1.358196556,0.60538659,0.025116256,0,2,-0.65927715,2,4,0.469315498,4,-0.452086568,1,3,3,1,0
16,3,0,-1.450988868,4,0.61682937,0,2,2,1.323402953,1,5,3,0,-1.358196556,-1.050757911,-0.485121989,0,1,-0.65927715,1,1,-1.742633061,2,-0.452086568,1,1,2,1,0
17,3,-4,0.080273964,4,1.087368287,0,1,2,1.323402953,1,1,4,0,0.100545443,0.60538659,0.931759695,-4,2,1.106670509,1,1,0.469315498,3,-0.452086568,1,1,1,1,0
18,4,0,0.080273964,4,-0.354041427,0,1,1,1.323402953,3,1,5,0,-1.358196556,0.777060596,0.777060596,0,2,-0.65927715,1,5,1.859388118,4,0.914926411,1,3,3,1,0
19,4,0,-0.632657414,3,0.017097243,0,2,1,0.452822554,1,4,2,0,-0.469871632,-1.050757911,0.025116256,0,4,-0.65927715,3,1,0.469315498,2,0.914926411,1,1,3,2,0
20,5,-7,0.080273964,3,-0.354041427,0,1,1,0.452822554,3,1,4,0,0.100545443,2.079364187,0.931759695,-7,2,-0.65927715,1,4,1.859388118,4,2.360459417,1,3,1,1,0
21,1,-7,0.080273964,1,-0.354041427,1,4,2,-1.281918189,3,1,1,1,0.100545443,-1.050757911,-1.000382259,-7,4,-0.65927715,4,1,-1.742633061,2,-2.074529237,1,3,1,3,1
22,3,-4,0.080273964,5,0.017097243,0,5,1,-0.118791394,2,1,4,0,0.100545443,2.079364187,0.931759695,-4,5,0.382100409,5,3,-0.118791394,5,-0.452086568,1,1,1,5,0
23,4,0,1.151735866,1,1.087368287,0,1,1,-1.281918189,1,2,5,0,-0.469871632,0.777060596,0.777060596,0,3,1.106670509,2,5,0.469315498,3,0.914926411,1,1,4,2,0
24,5,0,-0.045780008,3,0.017097243,0,4,1,0.452822554,1,3,4,0,0.263253257,2.079364187,0.931759695,0,2,0.382100409,1,4,0.469315498,4,2.360459417,1,1,5,1,0
25,4,0,1.151735866,4,0.61682937,0,3,1,1.323402953,1,2,4,0,0.263253257,2.079364187,0.931759695,0,2,0.382100409,1,4,0.469315498,3,0.914926411,1,1,3,1,0
26,5,-4,0.080273964,3,1.087368287,0,1,1,0.452822554,1,1,3,0,0.100545443,2.079364187,0.931759695,-4,2,1.106670509,1,4,1.859388118,3,2.360459417,1,1,1,1,0
27,3,0,-0.632657414,1,0.017097243,0,3,1,-1.281918189,1,4,2,0,-0.469871632,-1.050757911,0.025116256,0,4,0.382100409,3,2,-0.597480962,2,-0.452086568,1,1,3,3,0
28,4,0,1.151735866,5,1.087368287,0,5,1,-0.118791394,1,2,3,0,1.413734741,2.079364187,0.931759695,0,5,1.106670509,5,4,-0.118791394,5,0.914926411,1,1,4,5,0
29,4,-4,0.080273964,3,-0.354041427,0,4,1,0.452822554,3,1,3,0,0.100545443,-1.050757911,0.025116256,-4,2,-0.65927715,1,1,0.469315498,4,0.914926411,1,3,1,1,0
30,3,-7,0.080273964,5,0.61682937,0,5,1,-0.118791394,1,1,4,0,0.100545443,2.079364187,0.931759695,-7,5,0.382100409,5,3,-0.118791394,5,-0.452086568,1,1,1,5,0
31,2,1,-0.632657414,2,-1.287173361,0,3,2,-0.37704675,1,4,2,0,-0.469871632,-1.050757911,-1.000382259,1,4,-0.65927715,4,2,-0.597480962,1,-1.188488621,1,1,1,2,0
32,3,0,1.151735866,1,1.087368287,1,2,1,-1.281918189,1,2,1,1,1.413734741,-1.050757911,-1.000382259,0,3,1.106670509,2,2,-0.597480962,3,-0.452086568,1,1,2,2,1
33,5,-4,0.080273964,3,1.087368287,0,3,1,0.452822554,1,1,1,0,0.100545443,0.60538659,0.025116256,-4,2,1.106670509,1,4,0.469315498,3,2.360459417,1,1,1,1,0
34,3,-4,0.080273964,5,1.087368287,0,5,1,-0.118791394,1,1,3,0,0.100545443,2.079364187,0.931759695,-4,5,1.106670509,5,4,-0.118791394,5,-0.452086568,1,1,1,5,0
35,2,0,-0.632657414,1,-1.287173361,0,2,2,-1.281918189,1,4,3,0,-0.469871632,-1.050757911,0.025116256,0,4,-0.65927715,4,1,-0.597480962,1,-1.188488621,1,1,3,3,0
36,4,3,-0.045780008,2,-0.354041427,0,1,1,-0.37704675,3,3,2,0,-0.469871632,-1.050757911,-0.485121989,1,1,-0.65927715,1,2,0.469315498,2,0.914926411,2,3,2,4,0
37,3,0,-0.632657414,2,0.017097243,0,1,1,-0.37704675,1,4,4,0,0.263253257,2.079364187,0.025116256,0,3,-0.65927715,3,4,0.469315498,3,-0.452086568,1,1,3,2,0
38,1,-4,0.080273964,5,-0.354041427,0,5,1,-0.118791394,3,1,2,0,0.100545443,2.079364187,0.931759695,-4,5,-0.65927715,5,4,-0.118791394,5,-2.074529237,1,3,1,5,0
39,2,0,-0.632657414,1,0.017097243,0,1,1,-1.281918189,1,4,1,0,-0.469871632,-0.406465375,-1.000382259,0,3,0.382100409,3,3,-0.597480962,3,-1.188488621,1,1,3,3,0
40,5,-7,0.080273964,3,0.61682937,0,1,1,0.452822554,1,1,4,0,0.100545443,2.079364187,0.931759695,-7,2,0.382100409,1,4,1.859388118,3,2.360459417,1,1,1,1,0
41,5,0,1.151735866,3,-0.354041427,0,2,1,0.452822554,3,2,3,0,1.413734741,2.079364187,0.931759695,0,2,-0.65927715,1,3,1.859388118,4,2.360459417,1,3,5,1,0
42,4,0,1.151735866,3,1.087368287,0,1,1,0.452822554,1,2,1,0,1.413734741,0.60538659,0.025116256,0,2,1.106670509,1,4,1.859388118,3,0.914926411,1,1,5,1,0
43,1,-7,0.080273964,5,-0.354041427,0,5,2,-0.118791394,3,1,3,0,0.100545443,2.079364187,0.931759695,-7,5,-0.65927715,5,1,-0.118791394,5,-2.074529237,1,3,1,5,0
44,2,0,1.151735866,5,-0.354041427,0,5,1,-0.118791394,3,2,4,0,1.413734741,2.079364187,0.931759695,0,5,-0.65927715,5,1,-0.118791394,5,-1.188488621,1,3,4,5,0
45,5,0,1.151735866,3,1.087368287,0,1,1,0.452822554,1,2,5,0,1.413734741,0.777060596,0.777060596,0,1,1.106670509,1,5,-0.597480962,4,2.360459417,1,1,5,4,0
46,3,-4,0.080273964,2,0.017097243,1,4,1,-0.37704675,1,1,2,1,0.100545443,-1.050757911,-0.485121989,-4,2,-0.65927715,3,2,-1.742633061,1,-0.452086568,1,1,1,3,1
47,5,0,1.151735866,3,1.087368287,0,2,1,0.452822554,1,2,3,0,0.263253257,2.079364187,0.931759695,0,2,0.382100409,1,4,1.859388118,4,2.360459417,1,1,5,1,0
48,4,-7,0.080273964,3,1.087368287,0,1,1,0.452822554,1,1,3,0,0.100545443,0.60538659,-0.485121989,-7,2,1.106670509,1,3,0.469315498,3,0.914926411,1,1,1,1,0
50,3,0,-0.045780008,1,0.61682937,0,1,1,-1.281918189,1,3,2,0,0.263253257,0.60538659,0.025116256,0,1,0.382100409,1,4,-0.597480962,4,-0.452086568,1,1,3,4,0
51,2,0,-0.045780008,5,-0.354041427,0,5,1,-0.118791394,3,3,4,0,-0.469871632,-1.050757911,0.025116256,0,5,-0.65927715,5,1,-0.118791394,5,-1.188488621,1,3,5,5,0
52,4,0,-0.632657414,2,0.017097243,0,1,1,-0.37704675,1,4,2,0,-0.469871632,0.60538659,0.025116256,0,3,0.382100409,3,2,-0.597480962,2,0.914926411,1,1,2,2,0
53,5,0,1.151735866,2,1.087368287,0,3,1,-0.37704675,1,2,3,0,0.263253257,0.60538659,0.931759695,0,2,1.106670509,1,1,0.469315498,2,2.360459417,1,2,5,3,0
54,2,0,0.080273964,5,0.61682937,0,5,1,-0.118791394,1,1,4,0,-0.469871632,2.079364187,0.931759695,0,5,0.382100409,5,4,-0.118791394,5,-1.188488621,1,1,3,5,0
55,2,0,-0.632657414,3,-1.287173361,0,3,1,0.452822554,1,4,2,0,-0.469871632,-1.050757911,-1.000382259,0,2,-0.65927715,1,2,0.469315498,2,-1.188488621,1,1,3,1,0
56,4,-4,0.080273964,4,-0.354041427,0,2,1,1.323402953,3,1,3,0,0.100545443,2.079364187,0.931759695,-4,2,-0.65927715,1,1,0.469315498,3,0.914926411,1,3,1,1,0
57,5,-4,0.080273964,3,1.087368287,0,1,1,0.452822554,1,1,4,0,0.100545443,2.079364187,0.931759695,-4,1,0.382100409,3,3,0.469315498,4,2.360459417,1,1,1,1,0
58,2,5,-1.450988868,3,-1.287173361,0,3,1,0.452822554,2,5,1,0,-1.358196556,-0.406465375,-1.000382259,2,4,-0.65927715,3,3,-1.742633061,1,-1.188488621,2,2,1,2,1
59,2,0,-1.450988868,1,-1.287173361,0,1,1,-1.281918189,1,5,3,0,-0.469871632,2.079364187,0.025116256,0,2,-0.65927715,4,4,-0.597480962,4,-1.188488621,1,1,2,1,0
